name,age,dni,source,tags,phone,external_id
"Joceline Trust",112,35049963566,"Manual registration",remove_of_source|limit|least_interested26,"+54 1 96-5503 80757",85235
" R. Hewes",98,26514887475,"Email response",actionpending,"2 79 4621 6312",40553
"Rhona J.",93,64557432455,"Email responce",possible_buyer|case16|never_call,"+54 8-96-5696 6193",45335
"Madalyn Tremann",19,6253360086017,"google Forms",rangeof_action|case1|form_ui34428,"+54 8 85 5189-9552",24910
" Khorma",1,54265759941,"Manual registration",source_dependant23|source_dependant,"3-75 2036 84661",57035
"Ola Hedvah",89,79585015080,"Google forms",contactcenter_region326|contactcenter_region217,"+54 1 96 3966 98431",85539
" B. Opal",43,2553991860095,"Google forms",treaty,"5 33 5933 7745",69552
Janka,82,61390718640,"Manual registration",contactcenter_region3,"7 54-9257 1985",32173
"Caty O. Chapen",22,3751603550,"Email RESPONSE",apply_0_cases25|apply_0_cases10|call_again,"9 61 1006 1434",51479
"Joelie S. Shulman",0,57220046397,"Email RESPONSE",treaty,"3 12 2345-6139",97343
"Zea Wilber",6,46927061659,"google form",contactcenter_region1|remove_of_source23|limit26,"5 72 4648-7121",35928
"Elayne N. Rory",73,21621286141,"facebok Leads",source_dependant|contactondemand,"2 61 7059 9141",63562
"Lise Nurse",92,81116178674,manual-registration,rangeof_action|case1,"1 78 4313 3869",31653
"Maitilde E. Zaneta",86,28338213418,"google form",never_call19|case1|never_call,"+54 4 37 8148 7951",89580
"Hedwig Lewison",57,15237088659,manual-registration,treaty,"5-29 6702 4838",24765
"Rochell R. Irmgard",110,34335883859,"facebook leads",call_again28,"1 56 6946-75387",30179
Prudence,19,15702990769,"Email RESPONSE",most_interested28|actionpending1|contactcenter_region2,"9 45-6906 3642",65734
"Harriette V. Mersey",35,92768743909,"Google forms",on_consideration16|never_call|treaty,"5 67 6340 67849",96796
"Lilah B. Petronille",5,33289810268,"Email RESPONSE",case1,"7-22 1940 17962",95737
"Ericka F. Osher",84,7530536279217,"Email RESPONSE",contactcenter_region318|treaty|source_dependant,"+54 2 57 1476-5195",77578
Muriel,110,30755627584,"Facebook Leads",least_interested,"+54 3 23 8230 3566",97995
"Auroora M.",61,27434921368,"Google forms",source_dependant10,"8 55 8875 5684",84376
"Collie J. Ginevra",71,61539372187,"google Forms",actionable|contactondemand,"5 34 3974-97752",99054
"Adi Dieter",46,7120231593981,"google Forms",contactcenter_region2|treaty|actionable,"2-45 3947-5803",95277
"Maribel Thorn",35,75654676698,manual-registration,most_interested|possible_buyer,"9-50-9571 1833",89185
"Vernice Melda",51,21472545419,manual-registration,source_dependant|least_interested|contactondemand,"6 36 3029 6944",69182
"Rae H. Tletski",20,5744363134271,"google form",treaty|contactcenter_region229|any_applicant,"7 32 7825 2712",56238
"Sally Hecklau",63,82194829781,"google form",actionpending|special,"1 41 4434-5919",75070
" Wait",13,73063528607,"google Forms",actionable26,"+54 9 15 9965 3919",19552
" Sharp",72,12673618521,manual-registration,most_interested|source_dependant17,"1-24 4949 5528",90759
"Kelcy Shiverick",0,34949980451,"MANUAL REGistration",limit|apply_0_cases28|contactcenter_region4,"7-57 6431-8388",76464
"Marcia L. Emilio",0,63120361338,"Email response",contactondemand|rangeof_action|client_only,"1 88 8610 1325",91039
" Paxon",19,70021068043,"Manual registration",contactcenter_region4|rangeof_action21,"6 13 4225 7751",60455
"Desdemona Cohlier",103,71344979350,"google form",limit22|contactcenter_region417|techsource_29,"+54 4 77-2236-7634",85828
"Georgina Carisa",42,28964675492,"Email responce",never_call,"4 79 1245 3791",51106
"Reina N. Bergren",36,54172392288,"google Forms",on_consideration|least_interested8|least_interested,"+54 4-31 2493 60201",13228
"Dorree Garland",18,69157792664,"facebook leads",contactcenter_region411,"5 78 9093 86398",11490
"Sharla R. Hebbe",99,86161716994,"facebok Leads",actionable,"1 48 7861 7001",15823
"Phelia J. Hunter",90,32458099951,"google form",on_consideration|contactondemand20|case1,"8-96-6237 1740",97236
"Catarina Henryson",28,19208773782,manual-registration,contactcenter_region3|least_interested,"6 32-3213-7765",51187
,97,933751203484,"facebook leads",treaty,"+54 6 26-9731 5241",82693
"Juliet E. Janek",64,8217210276429,"facebook leads",techsource_2925|apply_0_cases,"5 24 1214-4401",50321
"Olenka D. Cates",0,12687613825,"Email RESPONSE",remove_of_source,"+54 5 28 8045 2044",13121
"Denise T. Baron",111,7567330177,"Manual registration",never_call|contactondemand,"7 38-7277 8600",37218
" B. Gayn",32,37542804163,"Google forms",most_interested10,"6-27 3759 5261",83418
"Sissie R. Audrye",7,59602812669,"google Forms",actionpending,"+54 9-73 1160 65204",53636
"Kyla B.",81,47635275747,"Google forms",special,"+54 9 87 5115 9496",54003
"Rodi Greenberg",55,84577489131,"facebok Leads",techsource_29|client_only,"9 35 4821-6047",12474
"Brittaney Poland",25,6022302394123,"Email response",apply_0_cases,"+54 3-86 2841 9772",56687
"Carmon Saffier",8,8726364758075,"Manual registration",techsource_29,"5 91 3653 5296",51280
"Jacki Nysa",71,14662947179,manual-registration,limit2|remove_of_source,"+54 8 34 2234-7169",71118
"Mair N.",4,24013945794,"MANUAL REGistration",least_interested5,"7 61 4255 5094",86269
Jania,120,77541589554,"Email RESPONSE",limit26|case129,"5 71 1718 7883",97236
"Doll Emmeline",51,45799903528,"google form",most_interested|never_call5|rangeof_action,"7 42 6212 4048",85221
"Mari C. Friedlander",27,8341517142014,"Manual registration",on_consideration|source_dependant,"+54 8 37 4363 8912",10461
"Rorie Guss",62,3977113323396,"google form",client_only|rangeof_action|special,"2-67-5664 6951",32230
"Norina E. Sherrard",69,55427713896,manual-registration,contactcenter_region220,"7 16 9753 4395",96164
"Fernande F. Vasileior",77,80003039900,"google form",limit23|limit|on_consideration,"3 77-7807 8018",16792
"Madeleine Alasteir",79,98343635960,"Email responce",actionpending|source_dependant,"+54 4 59 6481 4883",67701
"Geraldine Haldis",10,3786248743,"Google forms",least_interested21,"6 37 5617 4406",98855
"Modesta S. Shayn",112,41678981034,"facebok Leads",contactcenter_region2|most_interested29|call_again3,"4 28 4912 6111",29260
"Anna-Maria I. Charie",101,55893421515,"Facebook Leads",remove_of_source|least_interested3,"8 15 6376 9244",73977
"Aurora M. Haag",54,95436127906,"google form",contactcenter_region2|case1,"5-85 3840 9466",94303
"Margi Tenenbaum",83,5407379686566,"Email response",special|any_applicant|techsource_29,"1-56 7522-9305",36283
"Nalani B. Wiatt",0,68889460041,"Facebook Leads",remove_of_source5,"+54 2-31 1000 7479",12299
"Denise D. Danczyk",25,24975308839,"facebok Leads",on_consideration10|techsource_29,"+54 1-25 2170 1438",28457
"Marika Malloy",82,21995932501,"Email responce",actionpending15|possible_buyer,"+54 5 70 6530 9040",35068
"Blondy K. Burger",0,68889460041,"Facebook Leads",contactondemand7,"+54 2-31 1000 7479",39287
" E. Justinn",99,74691305283,"facebook leads",call_again14|call_again7,"2 38-2283 6830",27592
"Noni Quincey",39,51483668392,"Email responce",contactondemand|limit|actionable,"7 70 1025 5915",59224
"Maurine P. Mosera",31,34297564945,"facebok Leads",limit|contactcenter_region4,"7 32 5129 9042",30048
"Candi D.",84,43523315323,"Facebook Leads",contactondemand|case112,"8 84-8960-6985",70180
"Cymbre H. Sculley",79,6118973376377,"Facebook Leads",apply_0_cases,"+54 9-86 7410 3029",74752
"Terrie R.",58,50852333239,"Email response",limit|special|actionpending,"6-32 2064 6518",56686
" Scoles",148,31845305422,"Email RESPONSE",case1|case1|call_again,"+54 8 39 6945 7047",99908
"Wynnie I. Leor",48,57074728144,"Email response",contactcenter_region3|apply_0_cases18,"+54 7 54-4937-19186",10464
"Belia W. Chu",62,74308768099,"facebok Leads",call_again,"+54 8-73-3026 2460",86935
"Winnie Stortz",120,67432915602,"google form",contactcenter_region3,"4 80 1509 2743",12720
"Jessamyn Raddi",17,25417718557,"Manual registration",never_call,"5 75 6575 25981",80383
" Hines",91,71974967763,"Google forms",contactcenter_region3,"4 19 5585-91617",14478
"Darline Latouche",42,40280887884,"facebok Leads",on_consideration|on_consideration,"5 29-5755 6016",91587
"Britte O. Sebbie",93,89842317170,"Email responce",source_dependant|possible_buyer23,"5 15 8795 1072",80393
"Kassia R. Sand",93,89842317170,manual-registration,contactcenter_region210,"5 15 8795 1072",27790
"Megan Rilda",94,46759938563,"Email responce",any_applicant|rangeof_action26|limit,"+54 3 60 9239 9432",66315
"Oona T. Mllly",78,68014828886,manual-registration,form_ui344|contactcenter_region2,"+54 1 38 3437-4830",84827
Charlene,68,72313816342,"Google forms",client_only|limit15,"1 57 3257 3868",92676
Martie,107,31018521261,"Google forms",most_interested|any_applicant|any_applicant,"7 40-7365 7438",43422
" G. Kathy",42,27260992239,"facebook leads",actionable|least_interested,"5 77 8435-8944",79920
"Wynn Danby",24,94145584180,"MANUAL REGistration",treaty|least_interested,"3 86 6465-37773",55207
"Agatha N.",7,45568139318,"Google forms",apply_0_cases|treaty|contactcenter_region2,"3 90-9449-8539",52118
"Chelsie B. Katerine",62,4732775117859,"facebok Leads",client_only29|treaty10|client_only,"+54 1-34-7644 7377",37704
"Kelila W. Leanna",124,18678456448,"facebok Leads",contactcenter_region15|call_again12|special22,"1 59 3551 6520",10482
"Moll Dickinson",78,93927772801,"Email RESPONSE",apply_0_cases,"+54 7 78 7734 25118",75529
Mariette,10,11994940265,"facebook leads",form_ui344|any_applicant,"+54 6 60-3314 1810",60744
"Eden O. Lipcombe",31,65909190230,"facebok Leads",source_dependant,"5 14 4979 8419",93372
"Betty M. Veron",29,42390765823,manual-registration,on_consideration|least_interested8,"+54 4 75 3581 2646",49758
"Evangeline C. Golda",121,8144739256765,manual-registration,remove_of_source|contactcenter_region325|contactcenter_region415,"6-94-1939 6050",47509
"Lavina R. Bourne",32,78563457699,"google form",contactcenter_region1|actionpending|treaty26,"7-28 3800 5521",96555
" N. Narda",57,29842934925,"MANUAL REGistration",rangeof_action|client_only2,"3 78-4845 1707",73541
"Cherida Gerrie",124,64465416085,"google form",never_call,"4 86-9459 5412",64267
"Lynnell V. Anne-Corinne",13,21633608502,"Manual registration",contactcenter_region1,"+54 2-60 7762 9776",98117
"Merna Gavrila",1,37243158584,"facebok Leads",special|rangeof_action|actionable,"3 43-6172 4090",53503
"Norine Maggio",20,15799872451,"Manual registration",rangeof_action3|form_ui344,"+54 6 43 7186 37126",91432
" H. Reidar",40,92281799738,"Email RESPONSE",most_interested|most_interested|least_interested,"1 49 2175-2126",73542
"Papagena Jean",40,27060981940,"facebok Leads",apply_0_cases6|contactondemand|form_ui344,"+54 3 58 6667 1012",32624
"Felecia Deana",58,322911428,"Google forms",contactcenter_region2,"6 16 6664-62392",62298
"Cristi Beutner",94,93761528666,"facebok Leads",special|rangeof_action,"+54 4 11 6328 9704",83486
"Bobbi Maude",110,7876199547,"facebook leads",techsource_294,"2 56 2502-4745",42102
" H. Bazar",33,41551190177,"Email RESPONSE",any_applicant|never_call23,"6 75 8110 2583",61841
"Corina R. Lorilee",108,7935134347,"Google forms",rangeof_action|techsource_29,"9 45-8109 9739",61944
"Catherine Dib",50,30950035096,"MANUAL REGistration",contactcenter_region2|call_again5,"5 19 8824-42655",45995
"Gabie Kovacev",37,6646868629215,"google Forms",contactcenter_region3|source_dependant|limit29,"9-65 5873-9992",54313
"Cristin Peck",37,6646868629215,"facebook leads",source_dependant,"9-65 5873-9992",70390
"Charmine R. Thanasi",125,66842972673,"Email responce",client_only|call_again,"8 21-9509 9837",13684
"Arabele Shaum",37,6646868629215,"Email response",form_ui344,"9-65 5873-9992",12137
"Crystal Une",124,3251378648433,"Manual registration",any_applicant18|any_applicant,"6 14 8305-8811",82520
"Jacinthe Zebulon",53,2450048615,"Facebook Leads",special,"8 64 7100-4270",80919
"Barbara-Anne Mayfield",89,17852141046,"Manual registration",contactcenter_region1,"9 91-3008-6465",66503
"Halli Alithia",103,41232083113,manual-registration,client_only|case128|any_applicant,"+54 8 50 6256 1498",12269
"Maryjo V. Malcolm",83,99713268069,manual-registration,remove_of_source30|most_interested21,"+54 4-59 2408-6350",46042
"Arlana K. Cartie",69,21303098900,"facebook leads",least_interested27|actionpending,"+54 7 22 4949 52508",62976
"Carley Garnette",46,43126488748,"Email RESPONSE",most_interested|call_again,"9 76 6165 98327",13024
"Lora C.",39,77660331311,"Facebook Leads",contactcenter_region212,"+54 1 70 9569-8962",81484
"Fanya A. Johnny",84,15904640717,manual-registration,case1|source_dependant,"5 56 4115 7304",30492
"Edy Kappel",53,2450048615,"MANUAL REGistration",case1,"8 64 7100-4270",13851
"Marlie Menis",100,41277344763,"google Forms",client_only|remove_of_source,"+54 1 38 7439-38245",13268
"Polly Obara",77,71144995666,"google form",apply_0_cases,"6 94 6051 2881",82756
"Katrine Adal",35,82988346504,"Email responce",actionpending26|contactondemand,"+54 6 53 1179 4773",65632
"Kassey Roselba",112,63036517347,"google form",apply_0_cases,"1 89 6370 3869",32685
"Christel E. Valleau",114,8275664395834,manual-registration,most_interested|apply_0_cases|most_interested,"2 54 2218 3330",82182
Henrietta,64,28584889743,"google form",call_again|remove_of_source,"3 59 8801 8776",51391
"Sibel Casper",102,92085466867,"google form",case1|contactondemand,"2-55 8464-8153",99531
"Karyn N. Thorny",66,14387914132,"Email responce",call_again8|case115|limit13,"7 91 1336 9467",64636
"Betteanne Crenshaw",52,18176661674,"Email responce",on_consideration,"6 41 4242 3321",98223
"Sibella Dimitri",0,51771730051,"Facebook Leads",contactcenter_region1,"+54 2 32-6203 6947",52777
"Arielle R. Hescock",91,40314385344,manual-registration,on_consideration|contactcenter_region1|case1,"3 59-1259 1542",86758
"Sallie E. Kletter",71,32983695935,"facebok Leads",call_again|actionpending21|client_only9,"3 63 1156-27203",56285
" Ashwell",0,83345866502,"facebook leads",client_only|contactcenter_region1,"5-30 2764-3296",85655
"Brunhilda M. Gensler",53,2450048615,"Email RESPONSE",on_consideration|call_again,"8 64 7100-4270",39780
"Miquela N.",53,2450048615,"Manual registration",techsource_29,"8 64 7100-4270",64491
"Griselda E. Horbal",24,51258963349,"google form",contactcenter_region2,"8 75 7509-6263",83184
"Karel W. Salangi",65,22325888731,"facebok Leads",rangeof_action,"+54 9-21 4048-4224",79143
"Corliss Jillane",119,22457766478,"facebok Leads",contactondemand|contactcenter_region2|any_applicant,"+54 7-77 6536 7212",17501
"Vera Ida",48,95925766949,"facebok Leads",contactcenter_region319|remove_of_source|source_dependant,"+54 6 18 4804-8612",14829
"Minnie H. Lynne",60,5423507117,"Google forms",limit22,"6 87 5445 7302",94382
"Aryn P. Hoover",81,9989980031230,"Email RESPONSE",client_only21,"3 36 5903 3069",68792
" J. Osman",94,73291114294,"Google forms",contactcenter_region4|form_ui3447,"3 20 2911 2176",81386
"Koren Bow",0,43065651855,"facebook leads",source_dependant8,"1 45 3248 6411",63494
Andrei,69,16058460611,"google Forms",contactcenter_region3|apply_0_cases|client_only9,"7 92-1016 2037",32219
"Lisbeth W. Roxie",53,2450048615,"Email RESPONSE",contactcenter_region25,"8 64 7100-4270",65719
"Gillian Trillby",86,97001824524,manual-registration,contactcenter_region4,"2 69 6390 4985",13077
"Audrie C. Lipski",72,1785760576,"google form",form_ui344|rangeof_action5,"+54 4 32 4292 9357",26155
"Linnet M. Claman",121,54157063097,"facebok Leads",limit|remove_of_source|contactondemand,"8 62 8554 4324",85984
" G. Babcock",22,79139770211,"Facebook Leads",rangeof_action,"+54 7 22 6817 4092",87683
"Stormie R. Hyacinthe",18,61543446017,"google form",client_only|actionpending,"8 64-7955-7355",42322
" Phillips",88,17753809001,"Email response",on_consideration|treaty21,"2 12 6053 8283",50124
"Claresta Cox",99,28241596839,manual-registration,most_interested|techsource_29|contactcenter_region1,"5 57 7816 2833",62577
"Dyanne W. Lucas",64,54216233290,"Email responce",actionpending|apply_0_cases5|apply_0_cases,"+54 6 47 4186 4229",68206
"Laina S. Gannes",84,18428141920,"Email responce",contactcenter_region2|apply_0_cases,"5 11-3646-3057",97583
"Annabal G. Terryn",72,26772821099,"facebok Leads",limit|contactcenter_region2,"+54 8 15 9804 2609",83480
"Shellie Liuka",69,79810376162,"facebok Leads",contactcenter_region24|form_ui344,"9-62 9692 6456",94262
"Dale O. Donia",35,18045708270,"Manual registration",techsource_2925|form_ui344|contactcenter_region2,"+54 3 54 3048 87929",10076
Annnora,50,19383548447,"facebook leads",contactcenter_region4,"4 46 5727 3571",52379
"Anna-Diana A. Malcolm",72,26772821099,"Google forms",case1,"+54 8 15 9804 2609",75347
"Clareta Carolann",88,73592888934,"facebok Leads",call_again|call_again|contactcenter_region3,"7 92 3212-1222",25767
"Rubie C. Kroll",30,3947944389215,"Email response",treaty|treaty|special3,"1 14 5261 4417",95178
"Anne-Corinne R. Sarena",40,47624668013,"Email response",call_again,"+54 1 59 7829 1230",35864
"Katharyn L. Shantee",102,97342340435,manual-registration,least_interested|remove_of_source,"1 41-8043 4038",26689
"Cathrine Costanza",31,30022333274,"facebok Leads",contactcenter_region31|remove_of_source|source_dependant,"1 90 8705 1137",88408
" T. Smalley",20,23643779181,"Facebook Leads",actionpending|limit|least_interested,"+54 8 74 8149 9542",96909
"Esther G. Melly",111,93446768123,manual-registration,least_interested,"+54 7 73 8541 7306",82171
"Robbyn Demetris",54,30761470029,manual-registration,contactcenter_region426,"7 21-8401-6310",32749
"Kacey Diana",0,40392994208,"Manual registration",apply_0_cases|actionable|limit18,"5 88 6968 9353",63565
"Ruthy Aguie",122,41091292655,"Email responce",least_interested,"9 80-8626 5929",47140
"Millicent Deeanne",119,71452106248,"Email responce",remove_of_source16|contactcenter_region1,"2 88 1350 3353",89950
"Ellynn M. Odyssey",16,26812776382,"Google forms",remove_of_source3,"+54 3 89 7101 87184",70219
"Debor H. Borreri",12,41722613809,"google form",on_consideration|actionpending25|call_again,"7 61 1676-1705",85243
"Berthe J.",39,85686015701,"Manual registration",techsource_29,"+54 3 54 1634 4002",93539
"Timi Cohette",45,71514462420,"google form",actionpending|limit,"2 24-7075 8359",58409
"Doe M. Homerus",0,68638773249,"Facebook Leads",form_ui344,"5-51-7331 5533",65660
"Eba Ardell",60,95299794750,"Email responce",contactondemand,"4-24 7481-8066",88226
" Elurd",119,71452106248,"Manual registration",remove_of_source9|contactondemand|on_consideration,"2 88 1350 3353",74704
" Orson",57,86628447663,"Email response",treaty24|limit|treaty,"+54 7 25 2286 9869",41677
" Kerrison",28,42152344126,"facebok Leads",special25|never_call,"+54 2-21 6389 6760",17840
"Bambie TEirtza",83,83363973289,"facebok Leads",possible_buyer1,"3 55-7036 6151",40159
Cleopatra,109,89181178923,"Manual registration",special,"3 71 8396 6446",34551
"Lethia Hardie",13,89558677442,manual-registration,actionpending,"8 64-8197 5001",24270
"Maryellen Cletus",94,7786922706912,"google Forms",least_interested|techsource_2910,"4 15 2108 7696",38645
"Emilee S. Lymann",103,13766988332,"facebok Leads",possible_buyer25|techsource_29,"2 75-7080 3436",31852
"Francene Tad",100,72757035800,"facebok Leads",contactondemand,"2 73 3174 6836",10689
"Ericha Noell",109,64188599034,"Email responce",client_only,"9-91 5962 4082",75073
"Jana P. Tracy",34,7555545569,"Google forms",treaty20,"8 88 7003-6256",56147
"Natalina Stockwell",13,90277613554,"Email responce",form_ui344|on_consideration,"+54 1 14 1716 1850",48886
" F. Bogoch",1,28370336382,"MANUAL REGistration",client_only|rangeof_action,"3 23-5686 5241",70910
"Kippie Karl",64,17230180635,manual-registration,source_dependant|limit19|on_consideration3,"3 12-9764 3865",82454
Moyra,0,80599733366,"MANUAL REGistration",any_applicant11,"2 78 9341 9616",43883
"Alfy G. Prima",34,53120941646,"facebook leads",most_interested|source_dependant|limit4,"+54 4 78 7932 13611",55746
"Odette Nesline",102,30219388272,"facebok Leads",contactcenter_region2|remove_of_source|limit27,"7 79 2690 99846",79441
"Hedy Fronia",23,98732804233,"Manual registration",client_only,"7-57-2835 55881",36339
"Margie R. Alene",93,8142840632,"Facebook Leads",client_only,"2 18 5899 7714",14882
"Gretna B. Khalid",102,51607550180,"google form",actionable,"+54 3-12 5900 9975",21050
"Belle L. Hamid",109,980385321716,"facebook leads",never_call22|contactcenter_region39,"+54 1-88 9963-6451",62382
"Arluene Korry",25,27871451077,manual-registration,contactcenter_region416,"6 79 3358 8919",27627
"Emelda Zirkle",104,4480020073084,"google Forms",contactcenter_region4,"+54 4 15 8193 4194",20313
"Blakelee Girard",93,9677632322,"google form",never_call|call_again,"+54 3 37 4714 4224",75023
"Cherey J.",114,24779623721,"google Forms",any_applicant18|call_again17,"5-52 9956 9347",74785
" Lilac",55,83230597751,"MANUAL REGistration",contactcenter_region417|contactcenter_region4|apply_0_cases,"8 33 1175 1588",67021
"Dione H. Mushro",33,86182823201,"facebok Leads",treaty|case1,"3 57 6030-6781",73101
"Karil W. Hermine",40,397793382,"Manual registration",apply_0_cases,"5 87 7672 4314",64917
"Clare M. Osei",29,18992427044,"facebok Leads",rangeof_action|any_applicant|most_interested,"+54 1 74-1168-5322",86772
"Candy Holleran",24,92403011935,"Email responce",form_ui34420|form_ui344|least_interested5,"2-41 2189 8910",52442
"Odelinda Millhon",94,49296465076,"Email responce",any_applicant|form_ui344,"+54 8 10 7569 2614",90992
"Ailene Gustavus",116,46849191153,"google form",call_again|client_only,"1 96 9202 6397",40525
"Anne-Marie Drais",87,86568855369,"Facebook Leads",techsource_2914|special4|contactondemand13,"9 60 6767 7384",34303
"Irena Killam",45,375456402,"Manual registration",source_dependant27|contactcenter_region3,"2 62-5761 8358",77605
"Wendye B.",47,94348918544,"Google forms",contactcenter_region3,"6 38 8098-5777",62813
"Janeen Anis",10,29557258088,"Email response",limit|rangeof_action21,"2 76-2569 63756",96301
"Dorolisa F. Ottillia",148,26124197589,"Email RESPONSE",apply_0_cases,"9 38 2392 6467",28742
" Vastah",102,32740885425,"google Forms",source_dependant|least_interested22|special,"+54 1 22 9584-6822",91559
"Van Eddra",11,1650483650,"facebok Leads",contactcenter_region1|apply_0_cases|actionable,"8-63 4447 4229",91377
"Netty D. Goldia",49,4933331929,"google Forms",actionable22,"1 11 3349 2660",57197
Jordan,104,12136334330,"Email response",treaty|on_consideration,"2 15 4821-1021",76939
"Nanete Takeshi",112,8722580685464,"facebok Leads",limit|never_call,"3 29 7893 9042",48821
" M. Twitt",120,75663179553,"Facebook Leads",rangeof_action21|limit,"7-95 2418 3844",42163
"Joan P. Timmie",35,5668293319041,"Facebook Leads",rangeof_action|special26,"8 48 2526-5068",12450
